US Node ID 2012,DS Node ID  2012,Link Type 2012,System Type 2012,Conduit Material 2012,Site Condition 2012,Ground Condition 2012,Shape ID 2012,Conduit Width 2012,Conduit Height 2012,Bottom Roughness 2012,Top Roughness 2012,Conduit Length 2012 (ft),US Invert Level 2012 (ft),DS Invert Level 2012 (ft)
R16.01,R17.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1422.400027,1752.600033,0.015,0.015,1077.133904,-19.258,-20.598
R37.02,R36.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1575.81603,2033.016038,0.015,0.015,595.2529296,-19.258,-19.768
R37.01,R37.02,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1575.81603,2033.016038,0.015,0.015,576.7522317,-18.918,-19.258
R74.01,PS-MHill.1,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1371.600026,1371.600026,0.015,0.015,207.2298881,-18.9,-19.66
R72.03,R59,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3048.000057,2286.000043,0.015,0.015,1111.546807,-18.77,-19.48
R14.02,R15.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1676.400032,1320.800025,0.015,0.015,285.0351547,-18.758,-19.358
R72.02,R72.03,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3048.000057,2286.000043,0.015,0.015,780.360237,-18.5,-18.92
R38.03,R37.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,1981.200037,0.015,0.015,501.9468071,-18.178,-18.918
R38.02,R38.03,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,1981.200037,0.015,0.015,449.5950494,-18.058,-18.178
R75.03,R74.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1219.200023,1828.800034,0.015,0.015,706.1768532,-17.83,-18.9
R72.01,R72.02,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3048.000057,2286.000043,0.015,0.015,1597.842265,-17.64,-18.5
R14.01,R14.02,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1676.400032,1320.800025,0.015,0.015,905.9723502,-17.568,-18.758
R60.01,R72.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3048.000057,2286.000043,0.015,0.015,1003.291639,-16.96,-17.5
R38.01,R38.02,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1981.200037,1524.000029,0.015,0.015,1319.529164,-16.958,-18.058
R13.01,R14.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1295.400024,1600.20003,0.015,0.015,393.6916392,-16.758,-17.568
R75.02,R75.03,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1219.200023,1828.800034,0.015,0.015,731.6002633,-16.73,-17.83
R61.05,R60.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2590.800049,2590.800049,0.015,0.015,50.16458196,-16.22,-16.96
R12.03,R13.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1600.20003,1295.400024,0.015,0.015,550.0044766,-16.088,-16.758
39308,R38.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1905.000036,1371.600026,0.015,0.015,969.6813693,-16.058,-16.958
R61.04,R61.05,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2590.800049,2590.800049,0.015,0.015,1070.211192,-15.9,-16.22
R60.02,R61.04,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2590.800049,2590.800049,0.015,0.015,1872.844503,-15.34,-15.9
R11.01,R12.03,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1600.20003,1295.400024,0.015,0.015,753.5723502,-15.158,-16.088
R39.01,39308,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1905.000036,1371.600026,0.015,0.015,1241.673733,-15.088,-16.058
R75.01,R75.02,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1219.200023,1828.800034,0.015,0.015,477.5668203,-15.04,-16.73
R61.01,R60.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2590.800049,2590.800049,0.015,0.015,802.6333114,-14.98,-15.22
R40.01,R39.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1371.600026,1905.000036,0.015,0.015,292.3591837,-14.868,-15.088
R62.01,R61.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2590.800049,2590.800049,0.015,0.015,1103.620803,-14.65,-14.98
R41.01,R40.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1371.600026,1905.000036,0.015,0.015,265.5913627,-14.638,-14.868
R42.01,R41.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1371.600026,1905.000036,0.015,0.015,237.3988677,-14.418,-14.638
R63.01,R62.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2590.800049,2590.800049,0.015,0.015,601.9749835,-14.33,-14.51
R43.01,R42.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1371.600026,1905.000036,0.015,0.015,329.0796577,-14.138,-14.418
R64.02,R63.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2590.800049,2590.800049,0.015,0.015,936.3720869,-14.05,-14.33
R10.01,R11.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,1270.000024,0.015,0.015,750.8634628,-14.028,-15.158
R44.01,R43.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1371.600026,1905.000036,0.015,0.015,319.6988808,-13.918,-14.138
R64.01,R64.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2590.800049,2590.800049,0.015,0.015,1133.719552,-13.71,-14.05
R45.02,R44.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1828.800034,1371.600026,0.015,0.015,584.6180382,-13.078,-13.558
R65.02,R64.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2438.400046,2438.400046,0.015,0.015,735.7137591,-12.95,-13.17
R09.01,R10.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,1270.000024,0.015,0.015,572.277551,-12.888,-14.028
R71.01,BnxFb,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1219.200023,1219.200023,0.015,0.015,684.3452271,-12.82,-13.59
R45.01,R45.02,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1828.800034,1371.600026,0.015,0.015,517.9994733,-12.708,-13.058
R65.01,R65.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2438.400046,2438.400046,0.015,0.015,942.4921659,-12.64,-12.95
R08.01,R09.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1270.000024,1524.000029,0.015,0.015,277.8114549,-12.318,-12.888
R76.02,R75.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1219.200023,1219.200023,0.015,0.015,1122.081369,-12.2,-15.04
R46.03,R45.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1828.800034,1371.600026,0.015,0.015,507.364582,-12.158,-12.758
R46.02,R46.03,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1828.800034,1371.600026,0.015,0.015,346.8379197,-11.928,-12.158
R46.01,R46.02,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1752.600033,990.6000186,0.015,0.015,227.6468729,-11.798,-11.928
R66.03,R65.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2286.000043,2286.000043,0.015,0.015,1630.348914,-11.59,-12.24
R70.02,R71.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1219.200023,1219.200023,0.015,0.015,811.6629361,-11.59,-12.82
R70.01,R70.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1219.200023,1219.200023,0.015,0.015,1215.086504,-11.04,-11.59
BR23.02,R23.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,762.0000143,762.0000143,0.015,0.015,200.6583278,-10.458,-11.048
R66.01,R66.03,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2286.000043,2286.000043,0.015,0.015,2859.381172,-10.45,-11.59
BR45.02,R45.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,609.6000115,609.6000115,0.015,0.015,200.6583278,-10.288,-12.708
R07.02,R08.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,1270.000024,0.015,0.015,413.6571429,-10.258,-12.358
R47.05,R46.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,762.0000143,1143.000021,0.015,0.015,200.6583278,-10.018,-11.798
R67.03,R66.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2133.60004,2133.60004,0.015,0.015,1047.837788,-9.98,-10.45
BR19.01,R19.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,609.6000115,609.6000115,0.015,0.015,611.0046083,-9.958,-13.128
