date,usage_mgd
8/12/2020,108.9
8/13/2020,108.53
8/14/2020,108.39
8/15/2020,109.86
8/16/2020,112.55
8/17/2020,112.84
8/18/2020,113.08
8/19/2020,108.96
8/20/2020,108.96
8/21/2020,110.09
8/22/2020,109.97
8/23/2020,116.66
8/24/2020,113.69
8/25/2020,114.48
8/26/2020,111.28
8/27/2020,111.28
8/28/2020,107.43
8/29/2020,111.24
8/30/2020,111.55
8/31/2020,112.31
9/1/2020,114.4
9/2/2020,114.4
9/3/2020,113.18
9/4/2020,113.2
9/5/2020,115.46
9/6/2020,117.37
9/7/2020,117.46
9/8/2020,115.01
9/9/2020,116.71
9/10/2020,113.1
9/11/2020,115.54
9/12/2020,115.93
9/13/2020,114.42
9/14/2020,115.02
9/15/2020,115.02
9/16/2020,116.4
9/17/2020,115
9/18/2020,109.92
9/19/2020,109.9
9/20/2020,113.62
9/21/2020,114.39
9/22/2020,116.1
9/23/2020,116.79
9/24/2020,112.9
9/25/2020,114.8
9/26/2020,113.36
9/27/2020,114.16
9/28/2020,114.16
9/29/2020,114.65
9/30/2020,115.43
10/1/2020,114.39
10/2/2020,112.73
10/3/2020,116.23
10/4/2020,114.39
10/5/2020,117.96
10/6/2020,118.86
10/7/2020,120.56
10/8/2020,118.26
10/9/2020,119.2
10/10/2020,118.09
10/11/2020,118.09
10/12/2020,118.76
10/13/2020,117.41
10/14/2020,120.86
10/15/2020,122.65
10/16/2020,120.5
10/17/2020,118.98
10/18/2020,118.07
10/19/2020,115.71
10/20/2020,120.96
10/21/2020,116.19
10/22/2020,118.27
10/23/2020,117.6
10/24/2020,117.6
10/25/2020,117.52
10/26/2020,115.45
10/27/2020,116.09
10/28/2020,119.63
10/29/2020,121.98
10/30/2020,121.75
10/31/2020,118.87
11/1/2020,118.92
11/2/2020,117.71
11/3/2020,111.35
11/4/2020,117.06
11/5/2020,115.6
11/6/2020,115.6
11/7/2020,116.45
11/8/2020,114.26
11/9/2020,115.52
11/10/2020,116.53
11/11/2020,114.5
11/12/2020,119.51
11/13/2020,119.05
11/14/2020,100.26
11/15/2020,133.45
11/16/2020,118.52
11/17/2020,115.21
11/18/2020,115.07
11/19/2020,115.07
11/20/2020,115.32
11/21/2020,117.24
11/22/2020,116.45
11/23/2020,115.12
